requirements-inventory-en
requirements-inventory,,,,,,,,
ID,Type,Priority,Module,Requirement,Description,Status,Source,Remarks
FR-STA-01,FR,2,Home,Anna chat interface on the home page,"The home page displays a chat interface with Anna (AI assistant). Users can ask free-text questions and receive answers with card layouts, streaming text simulation and suggestion chips for follow-up questions.",Implemented,,
FR-STA-02,FR,2,Home,Contextual Anna greetings,"Anna generates a route-specific greeting and follow-up questions. The home page shows a daily briefing, detail pages show a summary of the current record.",Implemented,,
FR-STA-03,FR,2,Home,Pattern-matching-based answers,"Anna answers questions using keyword rules (no LLM). Answers can contain cards with structured data, danger/warning markers and clickable actions.",Implemented,,
FR-STA-04,FR,2,Home,Danger and warning markers,"Anna detects danger and warning keywords in her responses and highlights affected passages in color (red for danger, yellow for warning).",Implemented,,
FR-INT-01,FR,2,InterRAI,InterRAI assessment overview list,"All InterRAI assessments are displayed in a filterable list. Views: All, In Progress, Completed, Re-Assessment Due. Per entry: patient name, type, completion rate, assessor.",Implemented,,
FR-INT-02,FR,2,InterRAI,Active InterRAI workspace,"A workspace for item entry with sticky TOC navigation (left), collapsible section accordions and progressive disclosure (compact rows for high confidence, expanded for uncertain items).",Implemented,,
FR-INT-03,FR,2,InterRAI,InterRAI HC Switzerland item catalog,"Approx. 225 official InterRAI HC Switzerland items in sections A through S. Each item has a code, short question, full question, answer type (scale/yes-no/text/number) and answer options with short labels.",Implemented,,
FR-INT-04,FR,2,InterRAI,Read-only view of completed assessments,"Completed assessments display all captured items, CAP results (Clinical Assessment Protocols) and outcome scales in a non-editable view.",Implemented,,
FR-INT-05,FR,2,InterRAI,Assessment overlay,"An overlay shows outcome scales (ADL, IADL, CPS, DRS, PAIN etc.) with bar charts, triggered CAPs with priority and trigger items, and a section overview with completion status.",Implemented,,
FR-INT-06,FR,2,Care Planning,NANDA care planning editor,"Editor for nursing diagnoses (NANDA codes), interventions and goals. Diagnoses as ReviewBlock cards with collapsible body (rationale, linked interventions/goals). Adding via NANDA catalog search.",Implemented,,
FR-INT-07,FR,2,Care Planning,NANDA/ENP catalog,"Curated selection of 12 NANDA diagnoses with ENP-oriented intervention and SMART goal suggestions. When adding a diagnosis, the first intervention and first goal are automatically suggested.",Implemented,,
FR-INT-08,FR,2,KLV,KLV prescription workspace with status pipeline,A workspace for KLV prescriptions with a 7-step status pipeline: Draft → Reviewed → With Physician → Returned from Physician → With Insurance → Cost Approval Received / Rejected.,Implemented,,
FR-INT-09,FR,2,KLV,Spitex service catalog 2025,"Complete service catalog with approx. 170 positions. Per position: catalog number, description, area, standard time in minutes, KLV category (a/b/c) and default frequency.",Implemented,,
FR-INT-10,FR,2,KLV,KLV calculation logic,"Calculation of hours/week per position and totals by category (a/b/c). Considers rhythm (daily/weekly/monthly/one-time/as needed), number of visits and simultaneous partners.",Implemented,,
FR-INT-11,FR,2,KLV,Inclusive rules check,Automatic check whether a recorded KLV position is already included in another captured position (e.g. full body wash includes hair washing). Warning with main service reference.,Implemented,,
FR-INT-12,FR,2,KLV,Insurance rules check,"Check of insurance-specific billing limits (e.g. Groupe Mutuel max. 6 days/week, KPT max. 60 min. initial assessment). Warning only, no compliance certification.",Implemented,,
FR-INT-13,FR,2,KLV,WZW justification assessment,"Per KLV position a justification draft for effectiveness, appropriateness and efficiency is generated. Three cases: justifiable (diagnosis linked), suggestion (Anna suggests a link), gap (no suitable diagnosis).",Implemented,,
