Pfad,Kategorie,Kurzbeschreibung,Zeilen,Referenziert_von,Moduluebergreifend,Enthaelt_Berechnungslogik,Loeschbar_ohne_Ersatz
src/lib/interrai/types.ts,Typdefinition,"InterRAI HC Schweiz Typ-Definitionen: InterRAISektion; InterRAIAntwortTyp; InterRAIAntwortOption; InterRAIItemDefinition; InterRAIAntwort",1-88,"src/lib/interrai/interrai-items.ts; src/types/klinische-artefakte.ts; types.ts (root)",ja,nein,nein
src/lib/interrai/interrai-items.ts,Datenquelle,"Vollstaendiger Item-Katalog: 247 Items Sektionen A-S; 18 wiederverwendbare Antwort-Skalen; INTERRAI_ITEMS[]; SEKTION_NAMEN map; findItemByCode(); itemsBySektion()",1-2717,"src/lib/mocks/klinische-artefakte-mock.ts; src/app/components/interrai/Arbeitsbereich.tsx",ja,nein,nein
src/lib/interrai/helpers.ts,Hilfsfunktion,"getAntwortText(); getAntwortKurzLabel(); shouldExpandByDefault(); createItemInstance(); getKonfidenzColor(); getKonfidenzLabel(); getKonfidenzProzent()",1-88,"src/app/components/interrai/InterRAIDetailPage.tsx; src/app/components/interrai/Arbeitsbereich.tsx; src/app/components/StepPatient.tsx",ja,ja (getKonfidenzProzent),nein
types.ts (root),Typdefinition,"DUPLIKAT von src/lib/interrai/types.ts — identischer Inhalt",1-88,"keine (verwaist)",nein,nein,ja
Interrai items.ts (root),Datenquelle,"DUPLIKAT von src/lib/interrai/interrai-items.ts — identischer Inhalt",1-2717,"keine (verwaist)",nein,nein,ja
src/types/klinische-artefakte.ts,Typdefinition,"InterRAIItem (Instanz); CapResult; OutcomeScale; InterRAIAssessment; SEKTIONEN const; re-export InterRAIAntwortOption; auch Pflegeplanung/KLV/Workflow/ArztAnfrage Typen",1-333,"src/lib/mocks/klinische-artefakte-mock.ts; src/lib/onboarding/konvertierung.ts; src/app/components/interrai/*.tsx; src/app/components/StepPatient.tsx; src/app/components/Patient360Page.tsx; src/app/recording/RecordingContext.tsx; src/app/components/PflegeplanungArbeitsbereich.tsx",ja,nein,nein
src/lib/mocks/klinische-artefakte-mock.ts,Mock-/Demo-Daten,"MOCK_ASSESSMENTS (4 Szenarien); DEMO_ITEMS (30 Items); DEMO_CAPS (3 CAPs hartkodiert); DEMO_SCALES (5 Outcome-Scales hartkodiert); auch Pflegeplanung/KLV/Arzt-Diagnosen",1-398,"src/app/components/interrai/*.tsx; src/app/components/StepPatient.tsx; src/app/components/Patient360Page.tsx; src/app/recording/RecordingContext.tsx; src/app/components/PflegeplanungArbeitsbereich.tsx; src/app/components/OnboardingPage.tsx; src/app/components/StrategicDashboard.tsx; src/lib/onboarding/konvertierung.ts",ja,nein,nein
src/lib/mocks/gespraech-demo.ts,Mock-/Demo-Daten,"Gespraechs-Segmente mit erkannteItems (InterRAI-Item-Codes); 24 Segmente mit diagnoseVorschlaege + klvVorschlaege",26-139,"src/app/recording/RecordingContext.tsx; src/app/components/GespraechAufnahme.tsx",ja,nein,nein
src/app/components/interrai/InterRAIListPage.tsx,UI-Komponente,"Listenansicht aller Assessments mit Filter-Pills; Rollen-Filterung; Navigation zu Detail",1-132,"src/app/routes.tsx",ja,nein,nein
src/app/components/interrai/InterRAIDetailPage.tsx,UI-Komponente,"Detail-Ansicht: Read-only fuer abgeschlossene (Scales + CAPs + Items); delegiert an Arbeitsbereich fuer in-bearbeitung",1-145,"src/app/routes.tsx",ja,nein,nein
