Anforderungskatalog Spitex Cockpit
"Wondercode GmbH — Spitex Kaufmann AG",,,,,,
"Stand: 10. Juni 2026 | Phase 1: Go-Live 30.09.2026 | Phase 2: Go-Live 04.01.2027",,,,,,
"Hinweis: Die konkreten Datenfelder pro Objekt werden in der Verfeinerungsperiode (14 Tage ab Unterzeichnung) gemeinsam spezifiziert.",,,,,,
,,,,,,
ID,Phase,Anforderung,Beschreibung,Status,Abnahme,Bemerkung

,,,,,,
=== 1. DASHBOARD & UEBERSICHT ===,,,,,,
,,,,,,
FR-DSH-02,1,Kennzahlen-Dashboard,"Das Dashboard zeigt Kennzahlen, die das System automatisch berechnet: aktive Klienten (mit Trend), Onboarding-Pipeline (nach Status) und Personalstatus (Pflegefachkraefte mit Kapazitaet).",Zugesagt,,
FR-DSH-03,1,Compliance-Risiko-Anzeige,"Sechs Risiko-Indikatoren auf dem Dashboard: SRK-Kurs ueberfaellig, Re-Assessment faellig, Ausweis B ausstehend, Quellensteuer-Anmeldung offen, Kinderzulagen-Antrag offen, Lohnanpassung nach SRK.",Zugesagt,,
FR-DSH-01,2,Anna-Tagesbriefing,"Anna zeigt auf dem Dashboard ein taeglich aktualisiertes Briefing, das sich an die Rolle anpasst: Pflegefachperson sieht Klienten-Fokus, Backoffice sieht Abrechnungs-Fokus, Management sieht Pipeline-Fokus.",Zugesagt,,

,,,,,,
=== 2. ONBOARDING — Erfassung & Wizard ===,,,,,,
,,,,,,
FR-ONB-01,1,Onboarding-Uebersichtsliste,"Alle laufenden Onboarding-Vorgaenge in einer filterbaren Liste. Pro Vorgang: Patient, Angehoeriger, Eintrittsdatum, zustaendige Person, aktueller Status (In Erfassung, Unvollstaendig, Blockiert).",Zugesagt,,
FR-ONB-02,1,Gefuehrter Onboarding-Wizard,"Schritt-fuer-Schritt-Assistent mit drei Hauptschritten: 1) Angehoerigen-Daten (HR), 2) Patienten-Daten (klinisch + Dokumente), 3) Vertragsunterzeichnung. Bei Aufenthaltsstatus B erscheint automatisch ein zusaetzlicher Spezialbewilligungs-Schritt.",Zugesagt,,
FR-ONB-03,1,Angehoerigen-Daten erfassen,"Vollstaendige Erfassung aller HR-relevanten Daten: Personalien, Aufenthaltsstatus (A–N), Quellensteuer, Partnerangaben (bei Heirat/Quellensteuer), Kinder und Zulagen, Anstellungsdaten (Stundenlohn, IBAN), Pflichtdokumente.",Zugesagt,,Felder werden in Verfeinerungsperiode spezifiziert
FR-ONB-04,1,Patienten-Daten erfassen,"Erfassung in mehreren Tabs: Personalien, Soziales & Steuer, Anamnese, Aktivitaeten des taeglichen Lebens (ATL), Dokumente. Die klinischen Tabs (InterRAI, Pflegeplanung, KLV) sind erst in Phase 2 enthalten.",Zugesagt,,Felder werden in Verfeinerungsperiode spezifiziert
FR-ONB-20,1,Vorgangs-Status im Header,"Der Onboarding-Header zeigt jederzeit den aktuellen Status (Entwurf / In Bearbeitung / Bereit zum Abschluss) und klickbare Zusammenfassungen: Workflow-Fortschritt und fehlende Dokumente.",Zugesagt,,

,,,,,,
=== 3. ONBOARDING — Compliance-Pruefungen ===,,,,,,
,,,,,,
