Requirements Catalog Spitex Cockpit
"Wondercode GmbH — Spitex Kaufmann AG",,,,,,
"As of: June 10 2026 | Phase 1: Go-Live Sep 30 2026 | Phase 2: Go-Live Jan 4 2027",,,,,,
"Note: Specific data fields per object will be jointly specified during the refinement period (14 days from signing).",,,,,,
,,,,,,
ID,Phase,Requirement,Description,Status,Acceptance,Remarks

,,,,,,
=== 1. DASHBOARD & OVERVIEW ===,,,,,,
,,,,,,
FR-DSH-02,1,KPI Dashboard,"The dashboard shows metrics calculated automatically by the system: active clients (with trend), onboarding pipeline (by status) and staff status (nurses with capacity).",Committed,,
FR-DSH-03,1,Compliance Risk Display,"Six risk indicators on the dashboard: SRC course overdue, re-assessment due, residence permit B pending, withholding tax registration open, child allowance application open, salary adjustment after SRC.",Committed,,
FR-DSH-01,2,Anna Daily Briefing,"Anna shows a daily updated briefing on the dashboard that adapts to the role: nurse sees client focus, back office sees billing focus, management sees pipeline focus.",Committed,,

,,,,,,
=== 2. ONBOARDING — Data Capture & Wizard ===,,,,,,
,,,,,,
FR-ONB-01,1,Onboarding Overview List,"All active onboarding cases in a filterable list. Per case: patient, caregiver, start date, responsible person, current status (In Capture, Incomplete, Blocked).",Committed,,
FR-ONB-02,1,Guided Onboarding Wizard,"Step-by-step assistant with three main steps: 1) Caregiver data (HR), 2) Patient data (clinical + documents), 3) Contract signing. For residence permit B an additional special permit step appears automatically.",Committed,,
FR-ONB-03,1,Caregiver Data Capture,"Complete capture of all HR-relevant data: personal details, residence permit status (A–N), withholding tax, partner data (conditional on marriage/WHT), children and allowances, employment data (hourly wage, IBAN), mandatory documents.",Committed,,Fields to be specified during refinement period
FR-ONB-04,1,Patient Data Capture,"Capture in multiple tabs: Personal data, Social & Tax, Medical history, Activities of daily living (ADL), Documents. Clinical tabs (InterRAI, Care Planning, KLV) are only included in Phase 2.",Committed,,Fields to be specified during refinement period
FR-ONB-20,1,Case Status in Header,"The onboarding header always shows the current status (Draft / In Progress / Ready to Complete) and clickable summaries: workflow progress and missing documents.",Committed,,

,,,,,,
=== 3. ONBOARDING — Compliance Checks ===,,,,,,
,,,,,,
FR-ONB-05,1,Special Permit for Residence Permit B,"Residence permit B automatically requires submission of a special permit from the migration authority. Contract signing is blocked until proof is uploaded.",Committed,,
FR-ONB-06,1,Warning for Residence Permit G,"Residence permit G (cross-border) displays a prominent warning with direct upload option for the permit G document. Capture is not blocked but the action required is clearly visible.",Committed,,
FR-ONB-07,1,Warning for Child Allowances,"Dependent children or child allowances through Spitex generate an informational hint: family book or birth certificate must be uploaded.",Committed,,

,,,,,,
=== 4. ONBOARDING — Contract Signing & Signature ===,,,,,,
,,,,,,
FR-ONB-08,1,Digital Signature on Tablet/Phone,"Four documents (job description, employment contract, privacy policy, consent form) are signed by finger or stylus directly on the tablet/phone. Signature with timestamp and name. The employment contract must be signed before onboarding can be completed.",Committed,,
FR-SIG-01,1,Signature Export and Document Sealing,"The canvas signature is exported as an image and embedded in the signed PDF. A signature record (document hash, timestamp, signer) ensures the document was not altered after signing.",Committed,,
FR-SIG-02,1,Contract Management,"Overview of all contracts to be signed per mandate with status (open/signed). Signed documents are archived with embedded signature.",Committed,,
