ist-inventar_3
ist-inventar_3,,,,,,,,
ID,Typ,Priorität,Modul,Anforderung,Beschreibung,Status,Quelle,Bemerkung
FR-STA-01,FR,2,Startseite,Anna-Chat-Interface auf der Startseite,"Die Startseite zeigt ein Chat-Interface mit Anna (AI-Assistentin). Nutzer koennen Freitext-Fragen stellen und erhalten Antworten mit Karten-Darstellung, Streaming-Text-Simulation und Suggestion-Chips fuer Folgefragen.",Implementiert,,
FR-STA-02,FR,2,Startseite,Kontextuelle Anna-Begruessungen,"Anna generiert pro Route eine passende Begruessung und Follow-up-Fragen. Auf der Startseite erscheint ein Tagesbriefing, auf Detailseiten eine Zusammenfassung des aktuellen Datensatzes.",Implementiert,,
FR-STA-03,FR,2,Startseite,Pattern-matching-basierte Antworten,"Anna beantwortet Fragen anhand von Schluesselwort-Regeln (kein LLM). Antworten koennen Karten mit strukturierten Daten, Gefahren-/Warnungs-Markern und klickbaren Aktionen enthalten.",Implementiert,,
FR-STA-04,FR,2,Startseite,Gefahren- und Warnungs-Marker,"Anna erkennt in ihren Antworten Gefahren- und Warnungs-Schluesselwoerter und stellt betroffene Passagen farblich hervor (rot fuer Gefahr, gelb fuer Warnung).",Implementiert,,
FR-INT-01,FR,2,InterRai,InterRAI-Assessment-Uebersichtsliste,"Alle InterRAI-Assessments werden in einer filterbaren Liste dargestellt. Ansichten: Alle, In Bearbeitung, Abgeschlossen, Re-Assessment faellig. Pro Eintrag: Patientenname, Typ, Erfassungsgrad, Durchfuehrende.",Implementiert,,
FR-INT-02,FR,2,InterRai,Aktiver InterRAI-Arbeitsbereich,"Ein Workspace zur Item-Erfassung mit Sticky-TOC-Navigation (links), aufklappbaren Sektions-Akkordeons und Progressive Disclosure (kompakte Zeilen fuer hohe Konfidenz, expandiert fuer unsichere Items).",Implementiert,,
FR-INT-03,FR,2,InterRai,InterRAI-HC-Schweiz Itemkatalog,"Ca. 225 offizielle InterRAI-HC-Schweiz Items in den Sektionen A bis S. Jedes Item hat Code, Kurzfrage, Vollfrage, Antworttyp (Skala/Ja-Nein/Text/Zahl) und Antwortoptionen mit Kurzlabels.",Implementiert,,
FR-INT-04,FR,2,InterRai,Read-only-Ansicht abgeschlossener Assessments,"Abgeschlossene Assessments zeigen alle erfassten Items, CAP-Resultate (Clinical Assessment Protocols) und Outcome-Scales in einer nicht-editierbaren Darstellung.",Implementiert,,
FR-INT-05,FR,2,InterRai,Auswertungs-Overlay,"Ein Overlay zeigt Outcome-Scales (ADL, IADL, CPS, DRS, PAIN etc.) mit Balkendiagrammen, getriggerte CAPs mit Prioritaet und Trigger-Items, sowie eine Sektionenuebersicht mit Erfassungsstand.",Implementiert,,
FR-INT-06,FR,2,Pflegeplanung,NANDA-Pflegeplanung-Editor,"Editor fuer Pflegediagnosen (NANDA-Codes), Massnahmen und Ziele. Diagnosen als ReviewBlock-Karten mit aufklappbarem Koerper (Begruendung, zugeordnete Massnahmen/Ziele). Hinzufuegen ueber NANDA-Katalog-Suche.",Implementiert,,
FR-INT-07,FR,2,Pflegeplanung,NANDA/ENP-Katalog,Kuratierte Auswahl von 12 NANDA-Diagnosen mit ENP-orientierten Massnahmen- und SMART-Ziel-Vorschlaegen. Beim Hinzufuegen einer Diagnose werden erste Massnahme und erstes Ziel automatisch vorgeschlagen.,Implementiert,,
FR-INT-08,FR,2,KLV,KLV-Verordnung-Workspace mit Status-Pipeline,Ein Workspace fuer KLV-Verordnungen mit 7-Schritt-Status-Pipeline: Entwurf → Kontrolliert → Beim Arzt → Vom Arzt zurueck → Bei Krankenkasse → Kostengutsprache erhalten / Abgelehnt.,Implementiert,,
FR-INT-09,FR,2,KLV,Spitex-Leistungskatalog 2025,"Vollstaendiger Leistungskatalog mit ca. 170 Positionen. Pro Position: Katalog-Nummer, Bezeichnung, Bereich, Standardzeit in Minuten, KLV-Kategorie (a/b/c) und Standardhaeufigkeit.",Implementiert,,
FR-INT-10,FR,2,KLV,KLV-Berechnungslogik,"Berechnung von h/Woche pro Position und Gesamtsummen nach Kategorie (a/b/c). Beruecksichtigt Rhythmus (taeglich/woechentlich/monatlich/einmalig/nach Bedarf), Anzahl Einsaetze und Simultanpartner.",Implementiert,,
FR-INT-11,FR,2,KLV,Inklusiv-Regeln-Pruefung,"Automatische Pruefung, ob eine erfasste KLV-Position in einer anderen bereits enthaltenen Position eingeschlossen ist (z.B. Ganzwaesche schliesst Haare waschen ein). Warnhinweis mit Hauptleistungs-Referenz.",Implementiert,,
FR-INT-12,FR,2,KLV,Kassenregeln-Pruefung,"Pruefung kassenspezifischer Abrechnungslimiten (z.B. Groupe Mutuel max. 6 Tage/Woche, KPT max. 60 Min. Erstassessment). Rein warnend, keine Konformitaets-Zusicherung.",Implementiert,,
FR-INT-13,FR,2,KLV,WZW-Begruendungs-Auswertung,"Pro KLV-Position wird ein Begruendungs-Entwurf fuer Wirtschaftlichkeit, Zweckmaessigkeit und Wirksamkeit erzeugt. Drei Faelle: beggruendbar (Diagnose verknuepft), Vorschlag (Anna schlaegt Verknuepfung vor), Luecke (keine passende Diagnose).",Implementiert,,
FR-INT-14,FR,2,InterRai,Globales Gespraechs-Recording,"Ein global persistierendes Recording (ueberlebt Tab-Wechsel) zeichnet ein Gespraech auf. Nach dem Stoppen werden automatisch Mock-Artefakte erzeugt: InterRAI-Items, Pflegediagnosen, KLV-Positionen.",Implementiert,,
FR-INT-15,FR,2,InterRai,Recording-Statusleiste,"Eine persistente Leiste am oberen Bildschirmrand zeigt den Recording-Status: roter Puls-Dot mit Timer (Aufnahme), Spinner (Verarbeitung), gruene expandierbare Zusammenfassung mit Deep-Links zu den erzeugten Artefakten (Ergebnis).",Implementiert,,
FR-INT-16,FR,2,InterRai,Scripted Demo-Gespraech,"Ein realistisches Demo-Gespraech zwischen Pflegefachperson und Klientin mit Transkript-Segmenten. Jedes Segment traegt erkannte InterRAI-Items, NANDA-Diagnose-Vorschlaege und KLV-Vorschlaege fuer die Artefakt-Generierung.",Implementiert,,
NFR-INT-02,NFR,2,InterRai,Erweiterbare Regelstrukturen,"Inklusiv-Regeln und Kassenregeln sind als tabellenbasierte Arrays definiert. Neue Regeln = neues Array-Element, keine Logik-Aenderung noetig. WZW-Zuordnungstabelle analog erweiterbar.",Implementiert,,
